osmid,y,x,street_count,elevation,highway
3897693166,41.3202977,-8.712749,3,39.0,
3897693167,41.3204476,-8.7126529,3,39.0,
4223264849,41.3151993,-8.7371129,3,6.0,
4223264857,41.3162,-8.7375277,3,4.0,
4223264883,41.3176662,-8.7322778,1,14.0,
4223264993,41.3182146,-8.7380239,3,1.0,
4223265011,41.3216089,-8.7336036,1,9.0,
4223265012,41.3216129,-8.732748,1,20.0,
4223265019,41.3218061,-8.7342191,3,9.0,
4223265026,41.3224368,-8.7328848,3,20.0,
4223265029,41.3224931,-8.7336734,3,9.0,
4223265034,41.3225818,-8.7344271,3,9.0,
4359281699,41.3129928,-8.7076788,3,37.0,
4359281704,41.3133808,-8.7079386,3,37.0,
6432885371,41.3215991,-8.7192235,3,42.0,
6432885373,41.321492,-8.7189714,3,42.0,
6432885374,41.3214304,-8.7189281,1,42.0,
6432885375,41.3215326,-8.7188726,3,42.0,
6432885376,41.3214703,-8.7188292,1,42.0,
6432885377,41.3208829,-8.7185212,1,36.0,
6432885382,41.3209201,-8.7184208,1,36.0,
6432885383,41.3208597,-8.7183736,3,36.0,
6432885387,41.3154392,-8.7143477,3,35.0,crossing
6432885388,41.3147588,-8.7138794,3,35.0,crossing
6432885399,41.3153214,-8.7144618,1,35.0,
6432885400,41.3154189,-8.7143992,3,35.0,
6432885401,41.3153665,-8.7143601,1,35.0,
6432885405,41.3145616,-8.7139648,3,33.0,crossing
6432885406,41.3147423,-8.7139168,3,35.0,
6432885407,41.3148117,-8.7139675,1,35.0,
6432885408,41.3146981,-8.7140232,3,35.0,
6432885409,41.3147623,-8.7140727,1,35.0,
6975637943,41.3125299,-8.7273346,3,21.0,
6975638532,41.3105145,-8.7367655,1,9.0,
7655602177,41.3046948,-8.7073811,1,55.0,
7656098776,41.3184884,-8.7112561,1,41.0,
7656099890,41.322414,-8.7163543,1,40.0,
7656099891,41.3228685,-8.7154017,4,40.0,
7656150103,41.3217231,-8.7182992,3,36.0,
7656150104,41.3211259,-8.7178588,3,36.0,
7656150105,41.3215835,-8.7181963,4,36.0,
7656150108,41.3212608,-8.7179583,4,36.0,
7656150123,41.3216713,-8.7183016,3,36.0,
7656150124,41.3215703,-8.7182283,3,36.0,
7656150125,41.3212487,-8.7179875,3,36.0,
7656150126,41.3211512,-8.717915,3,36.0,
7741945441,41.3144184,-8.7112629,3,35.0,
7741945445,41.3139694,-8.7109733,1,35.0,
7741945452,41.3142745,-8.7095142,1,37.0,
7741990102,41.320584,-8.7127429,3,39.0,
7741990103,41.3207455,-8.7126173,3,39.0,
7741990104,41.3207933,-8.7126527,3,39.0,
7741990105,41.3208556,-8.7129221,3,42.0,
7752766520,41.318962,-8.7116904,4,52.0,crossing
7762649048,41.3070482,-8.7033971,3,50.0,
7762649051,41.3070647,-8.7037609,3,50.0,
7762651287,41.3061692,-8.703171,3,58.0,
7762651288,41.3063135,-8.7031142,3,50.0,
7762651297,41.3068571,-8.7033602,3,50.0,
7762651298,41.3070039,-8.7034635,3,50.0,
7852861135,41.307683,-8.7041645,3,50.0,
7852861138,41.307939,-8.7036175,1,50.0,
7852861139,41.3079725,-8.7036381,1,50.0,
7852861143,41.3078592,-8.7042801,3,59.0,
7852861144,41.3079101,-8.7037095,3,50.0,
7852861150,41.3077879,-8.7035875,3,50.0,
7852861151,41.307726,-8.7037426,3,50.0,
7852861152,41.30721,-8.7034183,3,50.0,
8449223812,41.3215585,-8.7187004,4,36.0,
8449223813,41.3220799,-8.717508,4,36.0,crossing
8449223815,41.3219816,-8.7177706,4,36.0,crossing
8449223819,41.3211636,-8.7178867,4,36.0,crossing
8449223820,41.3216845,-8.7182707,4,36.0,crossing
8449223833,41.320947,-8.7182487,4,36.0,
8449223839,41.3211572,-8.7174307,1,36.0,
8450828114,41.3197876,-8.7123352,4,52.0,crossing
8450828201,41.320349,-8.7127161,4,39.0,crossing
8454098839,41.3116584,-8.7397807,1,0.0,
8454098863,41.3151119,-8.739317,3,4.0,
8514504765,41.3197043,-8.7234354,3,18.0,
8514504956,41.3125695,-8.7268053,1,23.0,
9561185463,41.3222797,-8.7341356,3,9.0,
9561185478,41.3177334,-8.7354723,3,4.0,
9646064636,41.310436,-8.7398857,3,0.0,
10586725711,41.3224409,-8.7379952,3,5.0,
10586725712,41.3226895,-8.7361269,3,5.0,
11821884998,41.3240104,-8.7191033,1,37.0,
12228186206,41.3226295,-8.7353986,3,9.0,
12228186220,41.3220767,-8.7341995,3,9.0,
12617913450,41.3211149,-8.7240295,3,46.0,
13041426256,41.3050395,-8.7010863,1,50.0,
13041426258,41.3051512,-8.7012997,3,50.0,
13041426259,41.3050112,-8.7014229,3,50.0,
13041426260,41.3055417,-8.7027534,3,58.0,
13041426263,41.3055408,-8.7024832,3,58.0,
13041426264,41.3054424,-8.7026874,3,58.0,
13041426269,41.3053046,-8.701593,3,50.0,
13041426270,41.3053687,-8.7017154,3,50.0,
13041426271,41.30518,-8.7021075,3,58.0,
13041426272,41.3052877,-8.7022772,3,58.0,
13092919540,41.3173008,-8.735316,3,8.0,
13092919553,41.3170476,-8.7375733,3,1.0,
13092919554,41.3169414,-8.737868,3,1.0,
13092919555,41.316908,-8.7379337,3,1.0,
13092919564,41.317122,-8.737889,3,1.0,
13092926521,41.315756,-8.7261479,1,25.0,
13299598621,41.3119084,-8.7250103,3,26.0,
13299598628,41.3133342,-8.7256699,1,23.0,
13300045616,41.3104342,-8.7111342,1,35.0,
13300045621,41.3113111,-8.7133074,1,28.0,
13311375773,41.3185619,-8.7121215,1,41.0,
13319159116,41.3141107,-8.7154423,3,28.0,
13319159129,41.312208,-8.7153697,3,32.0,
13319159137,41.3157121,-8.7163796,3,32.0,
13319159211,41.3142624,-8.7166874,3,21.0,
13319159215,41.3146266,-8.7167977,1,20.0,
13319159268,41.3139287,-8.7179219,3,21.0,
13319159271,41.3135119,-8.7180248,1,21.0,
13319159461,41.3119245,-8.7193831,3,31.0,
13319159466,41.3105798,-8.7193305,1,31.0,
13319159471,41.3112344,-8.721046,1,31.0,
13319159472,41.3115439,-8.7209433,3,31.0,
13319159473,41.3113174,-8.7208239,1,31.0,
13319159495,41.3145068,-8.7153263,3,28.0,
13319159507,41.3155752,-8.7157321,1,32.0,
13319159574,41.3154104,-8.721014,1,28.0,
13319570913,41.3172167,-8.7254718,3,22.0,
13319570963,41.3198936,-8.7306766,1,15.0,
13319571072,41.3193204,-8.727071,1,13.0,
13319571073,41.3174875,-8.725505,3,22.0,
13319571075,41.3178962,-8.724172,3,20.0,
13319571264,41.3112515,-8.7188607,3,31.0,
13319571265,41.3113996,-8.7182612,1,30.0,
13319571266,41.31066,-8.7187127,3,30.0,
13319571270,41.3108601,-8.7177784,1,30.0,
13319571271,41.3102012,-8.718574,3,32.0,
13319571272,41.3102823,-8.7182033,1,32.0,
13319611404,41.310327,-8.7142023,3,32.0,
13319611419,41.3110571,-8.7154507,1,32.0,
13319611420,41.3109198,-8.7151214,3,32.0,
13319611422,41.3111102,-8.7151398,1,32.0,
13319633436,41.3155601,-8.7204922,1,26.0,
13319633437,41.3150304,-8.720345,3,26.0,
13319633439,41.3151546,-8.7196965,1,26.0,
13319670850,41.311814,-8.7150826,3,32.0,
13319670853,41.3118703,-8.714758,3,32.0,
13319670857,41.3121126,-8.7145877,1,32.0,
13319858452,41.3132496,-8.7143768,1,33.0,
13319870741,41.3197411,-8.7228147,3,23.0,
13319870824,41.3175036,-8.7240033,3,20.0,
13319870827,41.31797,-8.7242194,1,20.0,
13319870873,41.3120586,-8.709125,1,38.0,
13319870874,41.3101956,-8.7088326,3,38.0,
13319870881,41.3111384,-8.7090912,1,38.0,
13319870885,41.3123131,-8.7116322,1,35.0,
13319870888,41.31214,-8.7118503,1,35.0,
13319870889,41.3125755,-8.7107594,3,35.0,
13319870898,41.3128639,-8.7116272,1,35.0,
13319871000,41.3105985,-8.7064892,1,41.0,
13319871001,41.3104069,-8.7068041,3,43.0,
13319871002,41.3104792,-8.7068583,1,41.0,
13614748821,41.3102389,-8.7344276,3,17.0,
13614748825,41.3117723,-8.7349408,1,14.0,
13618090202,41.3099021,-8.7277396,3,28.0,
13618090213,41.3105166,-8.7290517,3,24.0,
13618090574,41.3090018,-8.7277388,3,28.0,
13618163779,41.3086558,-8.7296937,3,26.0,
13618163784,41.307978,-8.7295866,3,30.0,
13618163786,41.3106795,-8.7292519,3,21.0,
13618163787,41.311495,-8.729175,1,21.0,
13618275150,41.3090703,-8.7302232,3,26.0,
13618275156,41.3089366,-8.7300919,3,26.0,
13620771034,41.3131389,-8.7213413,3,30.0,
13620771035,41.3127279,-8.7210269,1,30.0,
13620771066,41.3126321,-8.7211801,1,30.0,
13620771067,41.3124735,-8.7215663,3,31.0,
13620771068,41.3125442,-8.7213941,4,30.0,
13620771069,41.312994,-8.7217413,3,30.0,
13620771070,41.3126494,-8.721702,3,30.0,
13620771073,41.3126166,-8.7212178,4,30.0,
13620771074,41.3123984,-8.721286,3,31.0,
13620771075,41.3128143,-8.7213727,1,30.0,
13620771076,41.3127761,-8.7213427,3,30.0,
13620771077,41.3127123,-8.7215237,4,30.0,
13620771078,41.3126682,-8.7212578,3,30.0,
13620771080,41.3129724,-8.7214041,3,30.0,
13620771081,41.3128694,-8.7216444,3,30.0,
13620771082,41.3128766,-8.7213313,3,30.0,
13620771083,41.3127699,-8.7215679,3,30.0,
13620771084,41.3129234,-8.7213669,3,30.0,
13620771085,41.312819,-8.7216057,3,30.0,
13620771086,41.3128794,-8.7216521,3,30.0,
13620771087,41.3128036,-8.7218189,3,30.0,
13620771090,41.3129173,-8.7216812,4,30.0,
13620771093,41.312831,-8.7216149,3,30.0,
13620771094,41.3127587,-8.7217848,3,30.0,
13620771095,41.3127842,-8.721579,3,30.0,
13620771096,41.3127108,-8.7217485,3,30.0,
13620771097,41.3122189,-8.721579,1,31.0,
13620771098,41.3123593,-8.7211552,1,31.0,
13620771099,41.3123507,-8.721434,3,31.0,
13620771100,41.3122788,-8.721398,3,31.0,
13633865050,41.313798,-8.7183852,3,21.0,
13633865056,41.3138674,-8.7189927,1,29.0,
13633865071,41.3135819,-8.7191899,3,29.0,
13633865074,41.3134072,-8.7190076,1,29.0,
13640879278,41.3085645,-8.7388191,3,9.0,
13640879285,41.308114,-8.7386308,1,3.0,
13658425879,41.3213817,-8.7241645,3,46.0,
13658425882,41.3217167,-8.7234798,1,46.0,
13658425890,41.3211195,-8.7232277,1,46.0,
13658524551,41.3186488,-8.7212119,3,18.0,
13658524560,41.319196,-8.7223157,1,23.0,
13658530535,41.3180325,-8.7234716,3,20.0,
13658530539,41.3176879,-8.7238779,3,20.0,
13658530540,41.3176585,-8.7238275,3,20.0,
13658530541,41.3177734,-8.7240385,1,20.0,
