osmid,y,x,street_count,elevation,highway
3465561399,40.8931063,29.3829003,3,170.0,
3465561401,40.8934129,29.3821604,3,170.0,
3465561402,40.8930459,29.3808856,3,164.0,
3465561403,40.8933386,29.3821897,3,170.0,
3465561404,40.893396,29.3814085,3,170.0,
3465561405,40.8927704,29.3816589,3,170.0,
3465561406,40.8930162,29.3815606,3,170.0,
3465561408,40.8928167,29.3818531,3,170.0,
3465561412,40.8915414,29.3825071,3,164.0,
3465561413,40.8915394,29.3825433,1,164.0,
3465561422,40.8918817,29.3818876,1,170.0,
3465561423,40.8917749,29.381931,3,170.0,
3465561424,40.8918419,29.3819038,4,170.0,
3465561426,40.8919213,29.3822448,4,170.0,
3465561428,40.8918812,29.3826035,3,170.0,
3465585313,40.8919596,29.3810423,4,164.0,
3465585315,40.892192,29.3806514,4,164.0,
3465585317,40.8927192,29.3798893,4,164.0,
3465585318,40.8925442,29.3828475,3,170.0,
3465585320,40.8921951,29.382645,3,170.0,
3465585327,40.892011,29.382129,1,170.0,
3465585328,40.8920239,29.3821993,4,170.0,
3465585335,40.8927109,29.3814937,1,170.0,
3465585336,40.8927288,29.3814845,3,170.0,
3465585337,40.8927086,29.3818578,1,170.0,
3465585338,40.8927271,29.3819261,3,170.0,
3465585339,40.8923268,29.3816537,1,170.0,
3465585340,40.8922719,29.3816739,4,170.0,
3465585341,40.8922599,29.3816811,1,170.0,
3465594434,40.8929193,29.3795682,1,164.0,
3465594453,40.8926059,29.3828853,1,170.0,
3465594454,40.8925586,29.3829089,4,170.0,
3465594455,40.8925327,29.3829207,1,170.0,
3465594456,40.8921391,29.38276,1,170.0,
3465594457,40.8921139,29.3826749,3,170.0,
3465594458,40.8921532,29.3830391,1,170.0,
3465594459,40.8921083,29.3830562,3,170.0,
3465594460,40.8930229,29.3827615,3,170.0,
3465594461,40.8929963,29.3827762,1,170.0,
3465594462,40.8928513,29.3824331,1,170.0,
3465594463,40.8929054,29.3822708,3,170.0,
3465594464,40.8928911,29.3822763,1,170.0,
3465594465,40.892833,29.3819262,3,170.0,
3465594466,40.8928201,29.3819289,1,170.0,
3465594467,40.8924833,29.3824043,1,170.0,
3465594468,40.8924259,29.3824285,1,170.0,
3465594469,40.8920373,29.3822645,1,170.0,
3465594481,40.8927826,29.3814254,1,170.0,
3465594488,40.8930986,29.3815276,3,170.0,
3465594489,40.893108,29.381565,1,170.0,
3465594490,40.8929575,29.3821287,1,170.0,
3465594491,40.8928827,29.3821626,3,170.0,
3465614085,40.8942943,29.3802381,1,160.0,
3465614086,40.8942895,29.380198,3,160.0,
3465614087,40.8944281,29.3806873,1,160.0,
3465614088,40.8944342,29.3807268,3,160.0,
3465614089,40.8940225,29.3807577,1,160.0,
3465614090,40.8939652,29.3807774,3,160.0,
3465614091,40.8935086,29.3805305,3,164.0,
3465614092,40.8935118,29.3805674,1,164.0,
3465616393,40.8936097,29.3810107,1,164.0,
3465616394,40.8936215,29.3810499,3,164.0,
3465616395,40.8939536,29.3807145,3,160.0,
3465616397,40.8935999,29.3804917,3,164.0,
3465616479,40.8913601,29.3836456,1,168.0,
3465616480,40.8915315,29.383352,3,168.0,
3465616482,40.8912653,29.3829634,4,164.0,
3465616483,40.8907475,29.3824219,3,164.0,
3465616486,40.8913508,29.3828326,4,164.0,
3465616487,40.890809,29.3822877,3,164.0,
3465616488,40.8907284,29.3833304,3,164.0,
3465616491,40.8908931,29.3825741,3,164.0,
3465616492,40.8913884,29.3831948,3,164.0,
3465616593,40.8912287,29.383462,1,168.0,
3465616599,40.8919649,29.3841579,1,182.0,
3503433971,40.8885307,29.3786469,3,141.0,
3503433972,40.88863,29.3792471,3,149.0,
3503433973,40.8917942,29.3817547,3,170.0,
3503433974,40.8917623,29.3817027,3,170.0,
3503433975,40.8913892,29.3818865,3,164.0,
3503433978,40.8914658,29.3819105,3,164.0,
3503433981,40.8915886,29.3818523,3,164.0,
3503438411,40.8918529,29.3812154,3,164.0,
6585260698,40.893353,29.3789338,1,146.0,
6601940166,40.8898725,29.3793315,3,158.0,
6601940167,40.8899078,29.3795299,3,158.0,
6601940171,40.8903393,29.3788137,4,147.0,
8513577088,40.8887086,29.377853,3,141.0,
8513577090,40.8886791,29.3786027,3,141.0,
11253761302,40.8939953,29.3857133,1,187.0,
11253761307,40.8938353,29.3865045,3,187.0,
11584708539,40.8909992,29.3824398,3,164.0,
11584708540,40.8898414,29.3743727,3,128.0,crossing
11584708561,40.8936357,29.3733293,3,134.0,crossing
11584708562,40.8929408,29.3736091,3,134.0,crossing
11584708563,40.8930868,29.3743022,1,134.0,
11584727077,40.8942128,29.3750623,3,135.0,
11584727078,40.8937979,29.3740841,1,131.0,
11584727081,40.8933217,29.3747637,3,134.0,
11584727085,40.8929445,29.3749034,3,134.0,
11584727087,40.8898448,29.3775445,4,147.0,crossing
11584926719,40.8915802,29.3783278,3,147.0,
11584926720,40.8915054,29.3771457,3,147.0,
11584926721,40.8901757,29.3800773,3,158.0,
11584926722,40.8913937,29.3813568,3,164.0,
11584926725,40.8906275,29.3787002,4,147.0,
11584926726,40.8907674,29.378645,4,147.0,
11584950719,40.8924458,29.3824201,4,170.0,
11584950720,40.8925847,29.38302,4,170.0,
11621908450,40.888562,29.3793142,3,149.0,
11633776769,40.8912597,29.3809635,3,158.0,
11633776770,40.8912668,29.3809969,4,158.0,
11633776771,40.8913942,29.3805732,4,158.0,
11633776773,40.8931824,29.381494,4,170.0,
12847103126,40.8885076,29.3773797,1,141.0,
13057946642,40.8904815,29.3780709,1,147.0,
13057946646,40.8904964,29.378141,1,147.0,
13057946653,40.8907149,29.3791319,1,147.0,
13057946654,40.8904474,29.3792481,1,158.0,
13057946655,40.8907488,29.3792795,1,158.0,
13057946656,40.8904831,29.3793944,1,158.0,
13057946657,40.8906933,29.3768887,3,141.0,
13057946658,40.890591,29.3769451,3,141.0,
13057946659,40.8905505,29.3769,1,141.0,
13057946664,40.890544,29.3773227,1,147.0,
13057946665,40.8906861,29.377474,3,147.0,
13057946670,40.8907715,29.3772068,3,147.0,
13057979011,40.8886559,29.3772486,3,141.0,
13058788589,40.892025,29.3804522,3,164.0,
13058788590,40.8922303,29.3833745,3,182.0,
13058788592,40.8921388,29.3833608,3,182.0,
13058788594,40.8922857,29.383718,3,182.0,
13058788595,40.8923244,29.383869,1,182.0,
13058788598,40.8919317,29.3725539,1,127.0,
13058809512,40.8919331,29.3743681,3,134.0,
13058809513,40.8918951,29.3738064,3,134.0,
13058809519,40.8921872,29.373303,3,134.0,
13058809520,40.8941285,29.3731287,3,131.0,
13058809530,40.8949196,29.3742751,3,131.0,
13604950641,40.8954735,29.3767449,3,135.0,
13604950651,40.8973645,29.3768685,3,132.0,
13604950657,40.8964115,29.3781317,1,134.0,
13712974182,40.8921747,29.3796171,3,164.0,
13712974183,40.8924311,29.3795179,3,164.0,
13712974184,40.8924738,29.379711,3,164.0,
13712974198,40.8926335,29.3796375,3,164.0,
13713023711,40.8899225,29.3746081,3,128.0,
13713023719,40.8896194,29.3742548,3,128.0,
13713023738,40.8910188,29.3824609,3,164.0,
13713023739,40.8911438,29.3822586,3,164.0,
13713023740,40.8914175,29.3825532,1,164.0,
13713023742,40.8911232,29.3822365,4,164.0,
13713024650,40.8932482,29.3739346,3,134.0,
13713024683,40.8926698,29.3741624,3,134.0,
13713024685,40.8922653,29.3745238,4,134.0,
13713029130,40.890591,29.3818657,4,164.0,
13713029131,40.8904676,29.3821115,3,164.0,
13713029132,40.8905048,29.3820052,3,164.0,
13713066418,40.8900745,29.3819599,3,164.0,
13713066419,40.8904683,29.3825926,1,164.0,
13713066421,40.8899452,29.3824156,3,164.0,
13713066425,40.8892933,29.3819904,1,151.0,
13713087951,40.8910609,29.383691,1,168.0,
13713087963,40.8916474,29.3837949,3,168.0,
13713095648,40.8914752,29.3829588,3,164.0,
13713095653,40.8915632,29.3826254,1,164.0,
13713098716,40.89294,29.3830854,3,170.0,
13713098739,40.8934474,29.3817711,3,170.0,
13713100870,40.8923239,29.3777837,3,146.0,
13713100874,40.8924471,29.3777324,3,146.0,
