u,v,key,osmid,highway,oneway,reversed,length,grade,grade_abs,elevation_change,service,junction,incline,smoothness
2265527328,3465416746,0,217273070,footway,False,True,109.35436259865423,0.0,0.0,0.0,,,,
2265527526,13713024685,0,217273089,service,False,True,34.49927680298823,0.0,0.0,0.0,parking_aisle,,,
2265527528,1841498502,0,228257939,residential,False,False,13.250079491124778,0.0,0.0,0.0,,,,
2265527528,3465407483,0,228257939,residential,False,True,5.612465248471695,0.0,0.0,0.0,,,,
2265527528,3465460848,0,217273040,footway,False,False,109.85470193154968,0.0,0.0,0.0,,,,
2265527528,3465529568,0,217273070,footway,False,False,72.03854034087122,0.05552583354788758,0.05552583354788758,4.0,,,,
2265527531,13713024685,0,217273089,service,False,False,20.51116537706698,0.0,0.0,0.0,parking_aisle,,,
2265527531,1841498497,0,217273089,service,False,True,16.147753196012097,0.0,0.0,0.0,parking_aisle,,,
2265527531,13713024683,0,"[1497256130, 1497256131]",service,False,False,81.2686624159102,0.0,0.0,0.0,parking_aisle,,,
2265527572,2265527582,0,217273077,residential,False,True,58.02063234611886,0.0,0.0,0.0,,,,
2265527572,2265527584,0,228257939,residential,False,True,19.095632703809503,0.0,0.0,0.0,,,,
2265527572,11584708562,0,1246109256,footway,False,True,19.063166410947083,0.0,0.0,0.0,,,,
2265527572,1841498497,0,228257939,residential,False,False,94.58796942294325,0.0,0.0,0.0,,,,
2265527582,2265527572,0,217273077,residential,False,False,58.02063234611886,0.0,0.0,0.0,,,,
2265527582,11584708562,0,217273077,residential,False,True,75.53194128301658,0.0,0.0,0.0,,,,
2265527582,11584727085,0,1246109254,footway,False,True,51.372149822071464,0.0,0.0,0.0,,,,
2265527584,11584708562,0,217273077,residential,False,False,1.0109124548560364,0.0,0.0,0.0,,,,
2265527584,2265527572,0,228257939,residential,False,False,19.095632703809503,0.0,0.0,0.0,,,,
2265527584,1841498548,0,228257939,residential,False,True,78.97172256708004,0.0,0.0,0.0,,,,
2265527592,3465407450,0,217272770,unclassified,False,False,90.87124204928602,0.0,0.0,0.0,,,,
2265527592,2265527770,0,217272770,unclassified,False,True,199.49904702106443,-0.045112997452312245,0.045112997452312245,-9.0,,,,
2265527592,6585260698,0,"[217272833, 339372954]","['service', 'residential']",False,False,89.31163644080888,0.0,0.0,0.0,,,,
2265527620,2265527625,0,217273081,service,False,False,18.738595359866224,0.0,0.0,0.0,parking_aisle,,,
2265527620,1841498548,0,217273081,service,False,True,17.262221897421217,0.0,0.0,0.0,parking_aisle,,,
2265527620,13713024650,0,"[1497255752, 1497255753]",service,False,False,71.94506240012714,0.0,0.0,0.0,parking_aisle,,,
2265527625,2265527634,0,217273081,service,False,False,16.674283627299644,-0.17991777440371165,0.17991777440371165,-3.0,parking_aisle,,,
2265527625,2265527620,0,217273081,service,False,True,18.738595359866224,0.0,0.0,0.0,parking_aisle,,,
2265527625,13713024650,0,1497255750,service,False,False,54.3529854742721,0.0,0.0,0.0,parking_aisle,,,
2265527634,2265527635,0,217273081,service,False,False,5.570891101242537,0.0,0.0,0.0,parking_aisle,,,
2265527634,2265527625,0,217273081,service,False,True,16.674283627299644,0.17991777440371165,0.17991777440371165,3.0,parking_aisle,,,
2265527634,13713024650,0,"[1497255752, 1497255751]",service,False,True,74.15986289306588,0.040453149223398946,0.040453149223398946,3.0,parking_aisle,,,
2265527635,2265527634,0,217273081,service,False,True,5.570891101242537,0.0,0.0,0.0,parking_aisle,,,
2265527740,1841498567,0,217272770,unclassified,False,True,38.66447941066261,-0.1293176599352101,0.1293176599352101,-5.0,,,,
2265527740,2265527793,0,217272994,service,False,True,42.77045486426871,0.0,0.0,0.0,,,,
2265527740,2265527761,0,217272770,unclassified,False,False,54.384890061042086,0.0,0.0,0.0,,,,
2265527761,13058809530,0,217272770,unclassified,False,False,28.464290577250708,0.0,0.0,0.0,,,,
2265527761,2265527740,0,217272770,unclassified,False,True,54.384890061042086,0.0,0.0,0.0,,,,
2265527761,2265527809,0,217272992,residential,False,False,43.3777824779214,0.0,0.0,0.0,,,,
2265527770,2265527788,0,217272892,unclassified,False,False,87.5495476468999,0.0,0.0,0.0,,,,
2265527770,2265527592,0,217272770,unclassified,False,False,199.49904702106443,0.045112997452312245,0.045112997452312245,9.0,,,,
2265527770,13604950641,0,217272770,unclassified,False,True,107.31438179923757,-0.018636831023651382,0.018636831023651382,-2.0,,,,
2265527786,2265527790,0,217272770,unclassified,False,False,7.731061446776288,0.0,0.0,0.0,,,,
2265527786,13058809530,0,217272770,unclassified,False,True,33.0415209229642,0.0,0.0,0.0,,,,
2265527786,2265527911,0,217273021,track,False,False,185.68205122036744,0.005385550156451041,0.005385550156451041,1.0,,,,
2265527788,2265527770,0,217272892,unclassified,False,True,87.5495476468999,0.0,0.0,0.0,,,,
2265527790,2265527786,0,217272770,unclassified,False,True,7.731061446776288,0.0,0.0,0.0,,,,
2265527790,3465388638,0,217273040,footway,False,True,44.23410356233464,0.0,0.0,0.0,,,,
2265527790,2265527814,0,217272770,unclassified,False,False,57.70463899043577,0.0693185170201477,0.0693185170201477,4.0,,,,
2265527793,2265527740,0,217272994,service,False,False,42.77045486426871,0.0,0.0,0.0,,,,
2265527809,2265527761,0,217272992,residential,False,True,43.3777824779214,0.0,0.0,0.0,,,,
2265527814,13604950641,0,217272770,unclassified,False,False,118.46432390158758,0.0,0.0,0.0,,,,
2265527814,2265527790,0,217272770,unclassified,False,True,57.70463899043578,-0.06931851702014767,0.06931851702014767,-4.0,,,,
2265527814,2265527911,0,217272771,track,False,False,112.57775881021807,-0.026648247679698048,0.026648247679698048,-3.0,,,,
2265527911,2265527924,0,217272771,track,False,False,30.86499954592689,0.0,0.0,0.0,,,,
2265527911,2265527814,0,217272771,track,False,True,112.57775881021806,0.02664824767969805,0.02664824767969805,3.0,,,,
2265527911,2265527786,0,217273021,track,False,True,185.6820512203675,-0.005385550156451039,0.005385550156451039,-1.0,,,,
2265527924,2265527911,0,217272771,track,False,True,30.86499954592689,0.0,0.0,0.0,,,,
2265527924,13604950651,0,217272771,track,False,False,172.64435628875665,0.0,0.0,0.0,,,,
2265527924,13604950641,0,1483739707,track,False,False,162.60678913143528,0.01844941417283073,0.01844941417283073,3.0,,,,
2355658526,3465526132,0,179741843,unclassified,False,False,4.231772141771323,0.0,0.0,0.0,,,,
2355658526,2355658528,0,226832140,footway,False,False,30.43827202600744,0.0,0.0,0.0,,,,
2355658526,2230475369,0,179741843,unclassified,False,True,119.1170339765337,0.06716083949484518,0.06716083949484518,8.0,,,,
2355658526,11621908450,0,1246109260,footway,False,False,48.88766863321825,0.16364044806514155,0.16364044806514155,8.0,,,,
2355658528,2355658526,0,226832140,footway,False,True,30.43827202600744,0.0,0.0,0.0,,,,
2355658529,3465548855,0,217273070,footway,False,False,3.680343559161478,0.0,0.0,0.0,,,,
2355658529,2265527318,0,217273070,footway,False,True,22.367203247333148,0.0,0.0,0.0,,,,
2355658529,3465451515,0,226832136,footway,False,False,78.10380743982547,0.07682083878718278,0.07682083878718278,6.0,,,,
2355658531,11584926721,0,226832137,footway,False,False,15.617979636455852,0.0,0.0,0.0,,,,
2355658531,3465548860,0,1246109259,footway,False,True,43.09196195406835,0.0,0.0,0.0,,,,
2355658531,6601940167,0,226832137,footway,False,True,52.90613602041742,0.0,0.0,0.0,,,,
2355658532,11584926720,0,339351409,footway,False,True,25.49211090280858,0.39227822435443177,0.39227822435443177,10.0,,,,
2355658532,3465529570,0,339366982,footway,False,False,7.401477223925772,1.2159734776872508,1.2159734776872508,9.0,,,,
2355658532,3465529568,0,"[1246135536, 339366981, 339366982, 1246135535]","['steps', 'footway']",False,"[False, True]",83.60386190418234,0.04784467976592236,0.04784467976592236,4.0,,,down,
2355658533,3465548803,0,339366988,footway,False,False,6.4394196280863,0.0,0.0,0.0,,,,
2355658533,11584926719,0,339351402,footway,False,True,19.492525168138812,0.05130171649769285,0.05130171649769285,1.0,,,,
2355658533,11584926720,0,"[339366988, 1246135533, 1246135534]","['steps', 'footway']",False,"[False, True]",97.72693814060732,0.010232593172633963,0.010232593172633963,1.0,,,down,
2355658535,3465548807,0,1246129910,steps,False,True,32.56928813822796,0.5526678975483236,0.5526678975483236,18.0,,,down,
2355658535,13712974198,0,179741843,unclassified,False,False,45.83066845714142,0.3927501082999196,0.3927501082999196,18.0,,,,
2355658535,13713100874,0,179741843,unclassified,False,True,116.48920534193874,0.0,0.0,0.0,,,,
