city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges,great_circle_m,circuity
Lanaken,11631416449,9063863695,9581.861940513523,10456.809178097257,874.947237583734,9.131286205286765,15922.75682718447,12298.792739955768,22.75965227982136,15.254237288135593,False,131,59,8325.194997083767,1.2560437541415155
Lanaken,4538643793,30642917,5539.686462326479,5542.025168680352,2.3387063538730217,0.04221730543375996,5815.505465776997,5799.706155278686,0.2716756194502132,89.74358974358974,False,39,40,4741.420077841927,1.1688534400442374
Lanaken,4512859320,258896885,1892.4108240721807,1934.5520301124438,42.141206040263114,2.226852938284386,2223.2400264940206,2173.1413351728042,2.2534090212571627,72.22222222222223,False,21,18,1403.9603482269492,1.3779249766957982
Lanaken,30985254,12293527826,4281.446416962216,4364.063781117419,82.61736415520318,1.9296601220533802,5859.225065902392,5453.756577586401,6.920172612511577,55.10204081632653,False,49,49,3109.6049238927603,1.4034142239697331
Lanaken,10724494196,5253035930,6845.785187003394,7451.568782475195,605.7835954718012,8.84900093888238,11291.781049475801,8821.250241797563,21.879017994180185,35.714285714285715,False,106,84,5947.594496000425,1.2528710199537219
Lanaken,240889636,2322525609,2386.060712621249,2386.060712621249,0.0,0.0,2571.660219497494,2571.660219497494,0.0,100.0,False,13,13,2099.566093491074,1.1364542035701308
Lanaken,2327690516,923038600,1084.8982900069975,1084.8982900069975,0.0,0.0,1121.1703839998586,1121.1703839998586,0.0,100.0,False,9,9,1084.8476163257744,1.0000467104139426
Lanaken,12398353011,8350492207,9036.829938750307,9229.341816703167,192.51187795286023,2.130303206518928,10636.185440063387,10426.871309747436,1.967943596841843,89.79591836734694,False,49,49,6866.0998198267225,1.344189868905239
Lanaken,2193472035,3186375733,2355.8846201752176,2355.8846201752176,0.0,0.0,2513.0652298832656,2513.0652298832656,0.0,100.0,False,15,15,1959.463735802712,1.2023109063613817
Lanaken,4538676906,11967483783,2317.7244155728135,2343.9589207001513,26.234505127337798,1.1319078726990963,2516.137827717963,2411.1399301754195,4.17297877667426,86.36363636363636,False,24,22,2014.2836711910304,1.1636687295956614
Lanaken,2079037652,9807445854,5127.76186247333,5143.781573779868,16.01971130653783,0.31241137432249755,5904.096534082866,5862.011623664104,0.7128086435547971,22.448979591836736,False,49,55,3610.829027428732,1.4245430993011459
Lanaken,12551607581,10078597943,5622.495405050002,5767.208484550583,144.71307950058144,2.573822992733855,7003.959615502322,6570.938223011366,6.182522690915024,37.2093023255814,False,43,54,4746.7237152416565,1.2149871849571034
Lanaken,3881235471,31345771,1898.0537843503075,1898.0537843503075,0.0,0.0,2412.5359143703345,2412.5359143703345,0.0,100.0,False,20,20,794.6767626913955,2.3884601557015666
Lanaken,258896077,6581845222,5805.399568082555,5805.399568082555,0.0,0.0,6198.168534627612,6198.168534627612,0.0,100.0,False,49,49,4831.341430405352,1.2016123579151554
Lanaken,10748913183,11990880434,3893.751035228477,4175.41962380043,281.66858857195257,7.233862309725842,5542.824791121238,4712.958039431586,14.97191022561226,13.953488372093023,False,44,43,3068.426277534016,1.360769086867573
Lanaken,5912579499,3249052473,5144.29518044273,5282.704845671727,138.40966522899635,2.6905467196982364,6562.129897072164,6501.639833424254,0.9218053375459485,75.51020408163265,False,49,49,3665.4864815227756,1.4412015628215058
Lanaken,7717832685,13255569948,2624.2484945818023,2729.948587834427,105.70009325262481,4.027823335742032,3209.110383808119,3164.859860859432,1.3789031119639035,58.62068965517241,False,29,34,2183.944483108045,1.2500082346183752
Lanaken,5227963773,1391456634,1798.3532003662556,1901.598159338263,103.24495897200745,5.741083506342381,2316.0508685870614,2234.9090898263357,3.503454084764005,50.0,False,18,16,1467.7829907773992,1.2955581113057437
Lanaken,4529154892,1435417215,7727.753370188321,8564.001008700912,836.247638512591,10.821355165637385,9981.74095015214,9591.796009026719,3.9065824596407444,40.84507042253521,False,82,71,5486.1120469852,1.5610328289607416
Lanaken,3754830497,6051501248,9812.05216902098,9889.961989797073,77.9098207760926,0.7940216728776955,12238.693355048483,10890.83728635908,11.013071653873986,48.23529411764706,False,85,88,7939.195320959502,1.2457133991511131
