osmid,y,x,highway,street_count,elevation
325735333,50.8911953,5.6014464,,3,97.0
325735336,50.8912147,5.6005622,,3,97.0
325735393,50.8909769,5.6005964,,3,97.0
325736418,50.8878397,5.6023981,,3,97.0
325736430,50.8875899,5.6021263,,3,97.0
325736446,50.8872864,5.6020056,,3,97.0
325736492,50.8865774,5.6011193,,3,97.0
325736758,50.8867449,5.6041962,,3,99.0
325736760,50.8867461,5.6047909,,3,99.0
325736781,50.8854928,5.6054739,,3,99.0
325736791,50.8842069,5.6044535,,3,96.0
325736809,50.8873643,5.6046467,,3,99.0
325736945,50.8872782,5.6038513,,1,96.0
325736954,50.8872274,5.605643,,1,99.0
325737468,50.8867745,5.6070375,,3,100.0
325737471,50.8860002,5.6069628,,3,100.0
325737474,50.8855039,5.6069113,,3,100.0
325737479,50.8843878,5.6071365,,3,95.0
325737485,50.883469,5.6074337,,3,95.0
325737885,50.885621,5.6121064,,3,94.0
325738025,50.8847745,5.6090227,,3,93.0
325738100,50.8858991,5.610198,,3,97.0
325738174,50.8867071,5.609516,,3,97.0
325738940,50.8847636,5.6130232,,3,81.0
325739191,50.8878203,5.6153819,,3,78.0
325739257,50.8878321,5.6162337,,1,78.0
325739888,50.8829594,5.6050286,,3,84.0
325740082,50.8833494,5.6050709,,3,96.0
325740846,50.8828214,5.6049595,,3,84.0
325740891,50.8848527,5.6033453,,3,96.0
325740917,50.8844496,5.6027851,,3,96.0
325740921,50.8843168,5.6025791,,1,96.0
325740982,50.8841824,5.6032964,,1,96.0
325741106,50.8862735,5.6040784,,3,96.0
325741327,50.8862844,5.6031074,,3,96.0
325741338,50.8859091,5.6031232,,1,96.0
325743928,50.8833531,5.60094,,4,94.0
325743953,50.883618,5.5961458,,3,96.0
325743969,50.8850815,5.5933058,,3,94.0
329289517,50.8949253,5.6002504,,3,106.0
329289551,50.8901698,5.6006979,,3,97.0
329289560,50.8878459,5.600597,,3,99.0
329289827,50.8880797,5.5987591,,3,96.0
329298788,50.8894363,5.6138969,,3,82.0
329400618,50.9261555,5.6054415,,3,94.0
329416447,50.920115,5.6084449,,3,95.0
329416907,50.9180535,5.6095178,,3,97.0
329416959,50.9183004,5.6103014,,3,97.0
335678601,50.8616045,5.625053,,3,71.0
335678605,50.8617014,5.6303963,mini_roundabout,4,74.0
335678609,50.8620138,5.6277387,,3,73.0
335678611,50.8618035,5.6261275,,3,71.0
335678640,50.8619268,5.6285625,,3,73.0
357334866,50.8641804,5.6340337,,3,71.0
357335657,50.8660966,5.6318087,,3,72.0
360823616,50.8865738,5.6499558,,3,67.0
360823883,50.8874678,5.6516889,,3,66.0
360824112,50.8884316,5.6525452,,3,61.0
360824114,50.8879396,5.6537031,,3,61.0
360824115,50.88725,5.6551567,turning_circle,1,62.0
360824622,50.888727,5.6521836,,3,61.0
360825390,50.8861568,5.6507636,,3,66.0
360825995,50.8870577,5.6508657,,3,66.0
360826163,50.8874651,5.6503829,,3,66.0
360826164,50.8875606,5.650571,,3,66.0
360826165,50.8871567,5.651065,,3,66.0
360826257,50.8872496,5.6512558,,4,66.0
361146658,50.8631997,5.6319472,,3,72.0
361146671,50.8642737,5.6309195,,3,70.0
361146810,50.8639131,5.6297908,,3,70.0
361146814,50.8644574,5.632398,turning_circle,1,72.0
361146832,50.8653163,5.6330908,,3,72.0
361146881,50.8652024,5.6318305,,3,72.0
361146882,50.8651286,5.6308621,crossing,3,73.0
361146892,50.8641597,5.626412,,3,70.0
361146893,50.8640638,5.6261042,,3,70.0
361146894,50.8633434,5.6250641,,3,70.0
361146956,50.8665421,5.628536,crossing,3,72.0
361146976,50.8694039,5.6266203,,3,81.0
361147009,50.8692963,5.6269069,,3,81.0
361147014,50.8701051,5.6277103,,3,81.0
361147072,50.8697908,5.6284899,,3,81.0
361147269,50.8602751,5.6227986,,4,75.0
361147276,50.8621093,5.6217454,,3,70.0
361147451,50.8622201,5.6220382,,3,70.0
361147494,50.8638802,5.6209133,,3,72.0
361147525,50.8654826,5.6249651,,4,78.0
361398684,50.9054189,5.6756555,,3,52.0
361398685,50.9048565,5.6762017,,3,52.0
361399913,50.8970205,5.6742365,,3,54.0
361400126,50.9044411,5.6824399,,3,48.0
363383783,50.8764048,5.6106112,,4,78.0
363383818,50.8742598,5.6051834,,3,83.0
364351933,50.8878182,5.6253305,,3,72.0
364351934,50.8878099,5.6258973,,3,72.0
364351935,50.8877651,5.6277347,,3,72.0
364351938,50.8890012,5.6251965,,3,72.0
364351989,50.8878489,5.6241626,,3,72.0
364828190,50.9240372,5.6858419,,3,44.0
365275565,50.909703,5.6939967,,4,43.0
365275712,50.910823,5.6877407,,3,48.0
365275801,50.910811,5.6815356,,4,45.0
365275817,50.9107747,5.6851674,,4,44.0
365275907,50.9116008,5.7013817,,3,40.0
365275934,50.9098461,5.697059,,3,48.0
365276111,50.9121367,5.7188578,,3,43.0
365276112,50.9114863,5.7180129,,3,43.0
370248442,50.9236958,5.7035184,,3,46.0
370250015,50.9204977,5.6680637,,3,51.0
406158656,50.8782451,5.6130433,,3,71.0
416057361,50.9170378,5.6100495,,3,97.0
416057363,50.9161656,5.6098175,,3,104.0
416057366,50.9132932,5.6106764,,3,102.0
416057382,50.9058789,5.6116654,,3,107.0
416057385,50.8978633,5.6137239,,3,105.0
416057388,50.8988326,5.6133036,,3,109.0
416154753,50.9350628,5.6640599,,3,50.0
416166071,50.8791358,5.6079878,,3,51.0
416166077,50.8787166,5.5965368,,3,64.0
417991854,50.8730424,5.5943743,,3,81.0
417991873,50.8650013,5.5924729,,4,88.0
417991885,50.8641902,5.6045486,,4,82.0
417991899,50.8609042,5.6033568,,3,79.0
417991901,50.8686783,5.6051277,,4,87.0
417991903,50.8726501,5.6056433,,3,84.0
417991970,50.8690733,5.6169943,,3,82.0
417992019,50.8608819,5.6148282,,3,73.0
418853703,50.8782163,5.6051201,,3,56.0
418947563,50.9146766,5.6674076,,4,49.0
418947566,50.9139792,5.6691442,,3,52.0
418947568,50.9096711,5.6723119,,4,53.0
423911890,50.8591534,5.6377854,,3,53.0
423911892,50.8599188,5.6379748,,3,53.0
437531027,50.8920152,5.6573542,,3,55.0
437531208,50.8919022,5.6570466,,3,55.0
437531547,50.8919501,5.6573481,,3,55.0
437531682,50.8920813,5.6570556,,3,55.0
437532763,50.8918888,5.6572694,,3,55.0
437532767,50.8920303,5.6569972,,3,55.0
454390163,50.8398715,5.6399148,,3,88.0
619414119,50.8955576,5.6726762,,3,52.0
619414150,50.8968854,5.6742289,,3,54.0
619434994,50.8876988,5.6569928,,5,58.0
619435061,50.8976528,5.66718,,3,52.0
619435128,50.8959847,5.6692908,,3,50.0
619475842,50.8964111,5.6619984,,3,52.0
619475855,50.8965704,5.6625838,,3,49.0
619475859,50.8966548,5.6622238,,3,52.0
619475864,50.8965603,5.6619188,,3,52.0
619475871,50.8972387,5.6621241,,3,52.0
619475872,50.8978793,5.6612828,,3,52.0
619475873,50.8971741,5.6618756,,3,52.0
619475897,50.8991801,5.6620561,,4,58.0
619475913,50.8972284,5.6657293,,3,52.0
619475921,50.8973352,5.6653916,,3,52.0
619475941,50.8976294,5.6670031,,3,52.0
619475945,50.8979307,5.6670217,,3,53.0
619475947,50.8978573,5.6668107,,3,52.0
619475964,50.9032125,5.6563408,,3,51.0
619475966,50.9034781,5.6559155,,3,53.0
619475970,50.9033556,5.6560992,,3,53.0
619475979,50.904129,5.6578944,,3,51.0
619475987,50.9010782,5.6589651,,3,53.0
619476031,50.9013565,5.6595604,,3,53.0
619476079,50.9020305,5.6603612,,3,53.0
619476175,50.9006076,5.6628679,,4,50.0
619476268,50.9023095,5.6623485,,1,53.0
619476270,50.9023642,5.6622081,,1,53.0
619476318,50.9040525,5.6581903,,3,51.0
619476325,50.9040143,5.6587973,,3,54.0
619476341,50.9027199,5.6617947,,1,53.0
619499885,50.897869,5.6664094,,3,52.0
619499895,50.9021965,5.6572512,,3,51.0
619499903,50.9024177,5.6570067,,3,51.0
619499906,50.9023318,5.6571408,,3,51.0
619499907,50.9020589,5.6575744,,3,53.0
619499908,50.9019692,5.6575476,,3,53.0
619499912,50.9020296,5.657451,,3,53.0
619499940,50.9022319,5.6574002,,3,51.0
619499950,50.902371,5.6573524,,3,51.0
619499952,50.9023805,5.6572456,,3,51.0
619499954,50.9022792,5.657453,,3,51.0
619499973,50.9021744,5.6578252,,3,51.0
619499983,50.9023045,5.657628,,3,51.0
619499992,50.9024501,5.6568767,,4,51.0
619499995,50.9025794,5.6571051,,1,51.0
619499997,50.9024465,5.6573663,,3,51.0
619499999,50.9024524,5.6572531,,3,51.0
619500054,50.904652,5.6572827,,3,48.0
619500076,50.9023632,5.6587114,,4,54.0
619500146,50.9025299,5.6579406,,1,51.0
619500147,50.9025849,5.6592396,,4,54.0
619500148,50.9029359,5.6579624,,4,51.0
619500194,50.9028711,5.6598852,,3,54.0
619568904,50.8884901,5.6552885,,3,59.0
619568917,50.8884866,5.6572116,,1,58.0
619568918,50.8885346,5.6571405,,1,58.0
619568932,50.8887786,5.654246,,3,59.0
619568938,50.89075,5.6539828,,3,61.0
619568940,50.8888514,5.6557892,,4,59.0
619568954,50.8894925,5.6563388,,3,58.0
619568978,50.8887791,5.6576879,,3,58.0
619568982,50.8888178,5.6574995,,3,58.0
619568986,50.8890823,5.6576351,,3,58.0
619569001,50.8893174,5.658343,,3,55.0
619569002,50.8887272,5.6579701,,3,58.0
619569003,50.8892604,5.6586088,,3,55.0
619569004,50.8888679,5.6584085,,3,55.0
619569008,50.889374,5.6580607,,3,58.0
619569036,50.8905584,5.6601248,,4,53.0
619569052,50.8908252,5.6596338,,5,53.0
620000625,50.9067343,5.6655243,,3,51.0
620000629,50.9054603,5.6673758,,3,55.0
620000667,50.9024729,5.6750541,,3,51.0
620000668,50.9025819,5.6753848,,3,51.0
620000674,50.9028986,5.6764187,,3,51.0
620000684,50.9044218,5.6747281,,3,51.0
620000692,50.90686,5.6709105,,3,50.0
620000694,50.9058603,5.6731587,,4,51.0
620000695,50.9068064,5.672194,,3,50.0
620000701,50.9095514,5.6743484,,3,50.0
620000714,50.9065171,5.6747432,,4,50.0
620000725,50.9068524,5.676114,,3,49.0
620000736,50.9063956,5.677351,,3,47.0
620000744,50.905932,5.6781934,,3,51.0
620000752,50.9061484,5.6777971,,3,51.0
620000756,50.9058257,5.6789118,,3,51.0
620000760,50.9065805,5.6777951,,3,47.0
620000768,50.9080529,5.6759457,,3,49.0
620000789,50.9095099,5.6749693,,3,50.0
620000797,50.9093228,5.6758233,,3,48.0
620000808,50.9079502,5.6776348,,3,47.0
620000811,50.9091166,5.6780344,,3,49.0
620000815,50.9033639,5.6812497,,3,50.0
620000819,50.9029084,5.6822217,,3,48.0
620000822,50.9041112,5.6808726,,1,50.0
620000846,50.9056216,5.6811628,,3,46.0
620000848,50.9054294,5.6817877,,3,48.0
620000850,50.9053478,5.6820596,,1,48.0
620000857,50.9095393,5.6831643,turning_circle,1,44.0
620000861,50.9071255,5.6870554,,3,48.0
620000869,50.9082527,5.6872183,,3,48.0
620000895,50.9124338,5.6703019,,3,53.0
620000900,50.9108589,5.6747707,,3,49.0
620000904,50.9124534,5.6751253,,3,46.0
620000905,50.9133303,5.6754889,,1,49.0
620000906,50.9122491,5.6758489,,3,46.0
620000907,50.912186,5.6761243,,3,46.0
620000915,50.9111026,5.6794709,,3,45.0
620000916,50.9124188,5.6798382,,3,45.0
620000929,50.9138846,5.6826644,,3,48.0
621010793,50.8992056,5.666121,,3,55.0
621010820,50.9061523,5.6642231,,3,53.0
621010822,50.9025801,5.6694031,,3,53.0
621021779,50.8974234,5.6554451,,3,53.0
621021786,50.894765,5.6641608,,3,53.0
621516616,50.9260933,5.6599432,,1,46.0
621516640,50.926217,5.6605318,,1,46.0
621516648,50.9261312,5.6603269,,1,46.0
621516650,50.9261675,5.660232,,1,46.0
621516653,50.9265308,5.659692,,1,46.0
621516668,50.9269617,5.6599198,,1,46.0
621516670,50.9268767,5.6599805,,1,46.0
621516681,50.9266354,5.6600184,,1,46.0
621516703,50.9256882,5.6612183,,1,46.0
621516707,50.9262587,5.6608197,,1,46.0
621516715,50.9262421,5.6610622,,1,46.0
621516717,50.9261947,5.6608599,,4,46.0
621516719,50.9261647,5.6607585,,3,46.0
621516736,50.9263798,5.6620072,,1,46.0
621516737,50.9262594,5.6616021,,1,46.0
621516752,50.9266205,5.6613144,,1,46.0
621516758,50.9270006,5.6607616,,1,46.0
621516762,50.9267426,5.6617782,,1,46.0
621516779,50.9268392,5.6682124,,3,52.0
621516788,50.9273021,5.6605676,,1,53.0
621516847,50.929398,5.6630852,,3,45.0
621516852,50.9293883,5.6629423,,1,45.0
621516867,50.9300498,5.6630046,,3,45.0
621516871,50.9310282,5.6634203,,3,45.0
621516874,50.9308725,5.6634299,,1,45.0
621516881,50.9282864,5.6642186,,3,47.0
621516885,50.9283026,5.6646273,,3,49.0
621516887,50.9278176,5.6647,,1,49.0
621516892,50.9278763,5.6656583,,1,49.0
621516906,50.9282747,5.6655906,,1,49.0
621516923,50.9288611,5.6641965,,3,47.0
621516930,50.928874,5.6645908,,3,49.0
621516931,50.9294141,5.6638555,,4,45.0
621516932,50.9294551,5.6646034,,3,45.0
621516934,50.9294516,5.6645312,,3,45.0
621516946,50.929569,5.6638248,,1,45.0
621516957,50.9291377,5.6651845,,1,49.0
621517001,50.9295017,5.6653735,,3,45.0
621517024,50.927932,5.6668048,,1,49.0
621517026,50.9279394,5.6671605,,3,49.0
621517061,50.9287418,5.6661245,,1,49.0
621517063,50.9287584,5.6667046,,1,49.0
621517206,50.929639,5.6682606,,3,47.0
621517208,50.9292743,5.6682002,,3,47.0
621517210,50.9300733,5.6634875,,3,45.0
621517212,50.9300817,5.6637705,,3,45.0
621517214,50.9301041,5.6645363,,3,45.0
621517215,50.9299456,5.663787,,1,45.0
621517220,50.9304324,5.6634581,,1,45.0
621517226,50.9310871,5.6643934,,4,45.0
621517255,50.9311449,5.6655337,,3,45.0
621517266,50.9321958,5.6654116,,4,47.0
621517267,50.9321449,5.6642713,,3,46.0
621517331,50.93003,5.6683572,,3,47.0
621517333,50.9305446,5.668462,,3,47.0
621517335,50.9305246,5.667754,,3,47.0
621517342,50.9312382,5.6676556,,3,47.0
621517350,50.930687,5.6677404,,1,47.0
621517354,50.9310591,5.6676789,,1,47.0
621517389,50.9312604,5.668614,,3,46.0
621517391,50.9315264,5.6686609,,3,46.0
621517408,50.9321433,5.6687622,,3,45.0
621517409,50.9292241,5.6688743,,1,51.0
621517459,50.9320686,5.6696217,,3,45.0
623987174,50.8822467,5.6191724,,3,72.0
623987181,50.8818362,5.6301455,,3,71.0
642164676,50.8415521,5.6254217,,3,89.0
642164679,50.8425829,5.6253997,,3,84.0
642886220,50.8603126,5.6249032,,3,73.0
642886226,50.860377,5.6250208,,3,75.0
642886227,50.8601441,5.625001,,3,75.0
670119765,50.8602466,5.6207029,,3,73.0
923014775,50.913182,5.625117,,4,102.0
923014780,50.913874,5.6225401,,4,107.0
923014789,50.9150651,5.6193204,,4,102.0
923014815,50.91723,5.6137363,,3,106.0
923014827,50.918648,5.6182997,,4,96.0
923014835,50.9194206,5.6191431,,3,96.0
923014854,50.9205157,5.6159498,,3,102.0
923014855,50.921441,5.6184584,,4,104.0
923014857,50.922418,5.6211321,,4,96.0
923014884,50.9230471,5.6286137,,3,91.0
923014885,50.9234044,5.6290342,,3,91.0
923014887,50.9236905,5.6293836,,3,72.0
923014888,50.9240758,5.6292411,,3,72.0
923018140,50.9260277,5.6425496,,3,60.0
923018165,50.9304657,5.6336893,,3,74.0
923018172,50.9313961,5.6340562,,3,69.0
923018179,50.9334377,5.6326059,,3,60.0
923018196,50.9333993,5.630532,,3,61.0
923018200,50.9337048,5.6296904,,3,61.0
923018204,50.9351021,5.6287976,,3,69.0
923018208,50.9362299,5.6308518,,3,83.0
923018213,50.9361979,5.6342456,,3,74.0
923018215,50.9354995,5.6376062,,3,54.0
923018228,50.9314128,5.6443335,,3,58.0
923018236,50.9306033,5.6448272,,3,52.0
923018244,50.9294159,5.6415319,,3,63.0
923018254,50.9277894,5.6404919,,3,55.0
923038566,50.9236003,5.6464402,,3,59.0
923038574,50.9231446,5.6435371,,3,57.0
