city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges
Maastricht,5777718487,8014763274,5677.671859640151,5999.71610491146,322.0442452713096,5.672117960190124,7073.7442157354235,6748.301365080114,4.600715557842301,42.857142857142854,False,98,104
Maastricht,13315339617,9577450326,5042.22147014733,5113.743658451638,71.52218830430775,1.41846582360092,5994.324879352562,5759.572759877594,3.9162395132030805,60.97560975609756,False,123,124
Maastricht,4743648849,10314663004,1482.5389834520392,1495.7013781878854,13.162394735846192,0.8878279008352296,1786.9367261977804,1680.8292780159425,5.937952174032035,54.83870967741935,False,31,32
Maastricht,6030119314,8645471478,3430.1680026562003,3450.152819470028,19.98481681382782,0.5826191836187699,4065.0875862700354,3850.8696041642384,5.269701514656787,73.03370786516854,False,95,89
Maastricht,4421054128,715666341,3697.408025824515,3713.268669070962,15.860643246447125,0.4289665391449523,4294.522443293177,4214.575801909349,1.861595612538527,79.16666666666667,False,72,73
Maastricht,41965078,8687461196,10129.593786218495,10300.68796629495,171.0941800764558,1.68905272696357,12868.107677487838,12130.14517379562,5.73481759857551,52.5974025974026,False,154,165
Maastricht,8018171722,31089226,4073.98703039244,4389.988847205128,316.00181681268805,7.756573952132787,6738.830589100747,5118.646762088781,24.042507161886807,4.878048780487805,False,41,101
Maastricht,41962296,41952197,1710.8594142673314,1714.9652846469057,4.105870379574299,0.23998876502267258,1900.0500906741613,1891.1734149250226,0.4671811439449556,89.74358974358974,False,39,40
Maastricht,9797091910,41998271,1103.1279392543272,1116.3223041323668,13.19436487803955,1.1960865470380926,1217.9118543470227,1207.419988375373,0.8614634904982447,56.52173913043478,False,23,24
Maastricht,41964322,5155951640,5310.442364448632,5399.268313363743,88.82594891511053,1.672665718203931,5968.782159608906,5922.3197127706135,0.7784242345567024,87.4074074074074,False,135,137
Maastricht,13100862955,1473161586,4029.2014548895104,4086.72545258064,57.52399769112981,1.4276773781396155,4829.846193544132,4438.04790612909,8.112024104178383,38.27160493827161,False,81,81
