osmid,y,x,street_count,elevation,highway,ref
486052417,50.8412094,5.6881658,3,53.0,,
486052429,50.8412453,5.6880803,4,53.0,,
489569152,50.8493457,5.6939935,3,50.0,,
490979585,50.8577336,5.695672,3,57.0,,
492152213,50.8524601,5.6943436,3,47.0,,
492152769,50.8517275,5.6943023,3,47.0,,
492168992,50.8535488,5.6844723,3,52.0,,
492175220,50.854275,5.684301,1,48.0,,
493427520,50.8473441,5.6955661,3,51.0,,
493513635,50.8521391,5.6696816,1,68.0,,
493513638,50.8517639,5.6701979,1,72.0,,
493513723,50.8523592,5.6702374,3,68.0,,
493513802,50.8520204,5.6698714,3,72.0,,
494000484,50.8448332,5.7054801,3,49.0,,
496143655,50.8432396,5.7019845,3,49.0,,
496289598,50.8373179,5.7211234,1,48.0,,
497122138,50.8471216,5.694671,3,51.0,,
498065493,50.8327281,5.6509475,3,81.0,,
498439169,50.8423496,5.6958279,3,51.0,,
498439175,50.8416137,5.6959973,3,53.0,,
502339740,50.8473613,5.6877727,3,56.0,,
502342892,50.8481425,5.6875371,1,55.0,,
502343061,50.8481276,5.6874315,3,60.0,,
502954474,50.8359378,5.7211415,1,48.0,,
502954485,50.8357561,5.7213888,1,48.0,,
503653930,50.8659349,5.6924154,1,44.0,,
503653941,50.8664227,5.6916914,3,44.0,,
503662654,50.8646178,5.6753958,3,66.0,,
503662663,50.8651436,5.6739745,3,69.0,,
503662664,50.8650101,5.6738506,3,69.0,,
503666763,50.8654368,5.6762333,1,66.0,,
503666972,50.8648074,5.6628444,3,61.0,,
503666975,50.8646294,5.6624281,3,63.0,,
503671596,50.8759838,5.6623507,1,56.0,,
503677684,50.8761788,5.6806902,1,43.0,,
503677685,50.8769519,5.6800726,3,43.0,,
503677687,50.8769739,5.6802398,3,43.0,,
503677689,50.8765853,5.6793472,3,43.0,,
503678954,50.8692379,5.6853154,3,45.0,,
503678958,50.8693729,5.6847493,3,45.0,,
503687422,50.8690597,5.686334,3,43.0,,
503687430,50.8703155,5.685442,1,43.0,,
503689425,50.8685345,5.6961942,1,46.0,,
503689923,50.8657655,5.6974136,3,44.0,crossing,
503696305,50.866816,5.6883799,1,45.0,,
503697497,50.8634581,5.6952874,3,47.0,,
503699140,50.862003,5.6920456,4,48.0,,
503699145,50.8614709,5.6913316,3,50.0,,
503703285,50.8565851,5.6909348,3,51.0,,
510130042,50.8414992,5.7139196,3,51.0,,
512574553,50.8388318,5.6951994,4,52.0,,
520512026,50.855304,5.6813681,1,51.0,,
520588954,50.853532,5.6819567,3,53.0,,
520588958,50.8530908,5.6813842,1,53.0,,
520588966,50.8537186,5.6833164,4,53.0,,
525565729,50.8524148,5.7128981,3,48.0,,
527054746,50.853904,5.6914958,3,53.0,,
528868482,50.8444224,5.6511016,4,81.0,,
528868503,50.8449646,5.6514896,3,81.0,,
528868524,50.845053,5.6520753,3,81.0,,
528868544,50.8459622,5.6506753,3,81.0,,
